City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kodiak,57.79,-152.4072,271.88,80,0,1.54,US,1679252340
84,tiksi,71.6872,128.8694,246.19,96,100,6.36,RU,1679252253
85,kenora,49.8167,-94.4337,268.69,42,20,2.06,CA,1679252341
86,banjar,-8.19,114.9675,298.05,91,94,1.15,ID,1679252341
87,manono,-7.3,27.4167,294.81,92,99,1.3,CD,1679252342
88,athabasca,54.7169,-113.2854,274.38,90,100,0.41,CA,1679252343
89,acapulco,16.8634,-99.8901,302.05,65,0,4.12,MX,1679252134
90,carnarvon,-24.8667,113.6333,296.34,80,0,7.65,AU,1679252265
91,peachland,49.7665,-119.7357,283.79,54,100,1.34,CA,1679252344
92,longyearbyen,78.2186,15.6401,257.06,55,20,6.17,SJ,1679252345
93,smithers,54.7804,-127.1743,273.33,69,40,0.0,CA,1679252346
94,atlantic city,39.3643,-74.4229,277.63,32,0,9.77,US,1679252245
95,inongo,-1.95,18.2667,296.3,82,59,0.8,CD,1679252347
96,barrow,71.2906,-156.7887,250.16,77,20,7.2,US,1679252348
97,chuy,-33.6971,-53.4616,301.06,65,93,3.28,UY,1679252268
98,jutai,-5.1833,-68.9,303.0,68,100,0.46,BR,1679252349
99,salalah,17.0151,54.0924,298.93,85,28,2.14,OM,1679252350
100,tornio,65.8481,24.1466,264.16,96,100,2.59,FI,1679252350
101,leh,34.1667,77.5833,268.24,84,100,0.61,IN,1679252352
102,mataura,-46.1927,168.8643,289.53,97,99,1.62,NZ,1679252353
103,aklavik,68.2191,-135.0107,259.15,72,75,4.12,CA,1679252353
104,abu zabad,12.35,29.25,301.93,11,78,4.94,SD,1679252354
105,provideniya,64.3833,-173.3,266.98,96,100,1.84,RU,1679252355
106,sinnamary,5.3833,-52.95,300.2,67,38,5.03,GF,1679252356
107,mana,5.6592,-53.7767,300.55,65,53,5.49,GF,1679252356
108,kindu,-2.95,25.95,297.09,75,100,0.6,CD,1679252357
109,luderitz,-26.6481,15.1594,290.02,87,100,1.24,NA,1679252358
110,hamilton,39.1834,-84.5333,276.62,45,75,5.66,US,1679252097
111,port augusta,-32.5,137.7667,293.35,61,100,4.5,AU,1679252359
112,nisia floresta,-6.0911,-35.2086,301.6,84,100,1.79,BR,1679252360
113,georgetown,5.4112,100.3354,302.11,89,20,0.51,MY,1679252355
114,hilo,19.7297,-155.09,303.86,68,20,4.02,US,1679252119
115,fort frances,48.5999,-93.4003,273.27,41,0,4.12,CA,1679252315
116,port elizabeth,-33.918,25.5701,295.55,91,20,6.69,ZA,1679252363
117,pevek,69.7008,170.3133,261.74,93,100,4.45,RU,1679252364
118,fairbanks,64.8378,-147.7164,274.72,71,75,2.57,US,1679252364
119,tuatapere,-46.1333,167.6833,288.49,82,100,3.97,NZ,1679252365
120,tura,25.5198,90.2201,290.02,97,100,1.16,IN,1679252365
121,songling,31.1933,120.7176,281.98,92,100,2.8,CN,1679252366
122,lages,-27.8161,-50.3261,301.0,33,2,1.42,BR,1679252367
123,lahaina,20.8783,-156.6825,299.71,75,100,3.17,US,1679252368
124,oranjestad,12.524,-70.027,302.12,61,40,8.23,AW,1679252369
125,faya,18.3851,42.4509,288.21,42,64,1.73,SA,1679252370
126,teguise,29.0605,-13.564,290.27,59,20,10.29,ES,1679252371
127,kropotkin,45.4375,40.5756,285.19,82,100,4.36,RU,1679252372
128,marawi,7.9986,124.2928,293.16,97,88,0.55,PH,1679252373
129,dikson,73.5069,80.5464,246.87,98,98,3.47,RU,1679252377
130,cayenne,4.9333,-52.3333,302.17,65,68,7.2,GF,1679252259
131,cockburn town,21.4612,-71.1419,300.13,61,40,6.17,TC,1679252378
132,ixtapa,20.7,-105.2,303.71,29,0,4.41,MX,1679252379
